DGP,Learner,n,p,K,n_train,rho_fold
Quadratic,Lasso,250,50,10,225.0,0.222
Quadratic,Lasso,250,100,2,125.0,0.8
Quadratic,Lasso,250,100,5,200.0,0.5
Quadratic,Lasso,250,100,10,225.0,0.444
Quadratic,Lasso,250,150,2,125.0,1.2
Quadratic,Lasso,250,150,5,200.0,0.75
Quadratic,Lasso,250,150,10,225.0,0.667
Quadratic,Lasso,250,300,2,125.0,2.4
Quadratic,Lasso,250,300,5,200.0,1.5
Quadratic,Lasso,250,300,10,225.0,1.333
Quadratic,Lasso,500,25,2,250.0,0.1
Quadratic,Lasso,500,25,5,400.0,0.062
Quadratic,Lasso,500,25,10,450.0,0.056
Quadratic,Lasso,500,50,2,250.0,0.2
Quadratic,Lasso,500,50,5,400.0,0.125
Quadratic,Lasso,500,50,10,450.0,0.111
Quadratic,Lasso,500,100,2,250.0,0.4
Quadratic,Lasso,500,100,5,400.0,0.25
Quadratic,Lasso,500,100,10,450.0,0.222
Quadratic,Lasso,500,150,2,250.0,0.6
Quadratic,Lasso,500,150,5,400.0,0.375
Quadratic,Lasso,500,150,10,450.0,0.333
Quadratic,Lasso,500,300,2,250.0,1.2
Quadratic,Lasso,500,300,5,400.0,0.75
Quadratic,Lasso,500,300,10,450.0,0.667
Quadratic,Lasso,1000,25,2,500.0,0.05
Quadratic,Lasso,1000,25,5,800.0,0.031
Quadratic,Lasso,1000,25,10,900.0,0.028
Quadratic,Lasso,1000,50,2,500.0,0.1
Quadratic,Lasso,1000,50,5,800.0,0.062
Quadratic,Lasso,1000,50,10,900.0,0.056
Quadratic,Lasso,1000,100,2,500.0,0.2
Quadratic,Lasso,1000,100,5,800.0,0.125
Quadratic,Lasso,1000,100,10,900.0,0.111
Quadratic,Lasso,1000,150,2,500.0,0.3
Quadratic,Lasso,1000,150,5,800.0,0.188
Quadratic,Lasso,1000,150,10,900.0,0.167
Quadratic,Lasso,1000,300,2,500.0,0.6
Quadratic,Lasso,1000,300,5,800.0,0.375
Quadratic,Lasso,1000,300,10,900.0,0.333
Quadratic,OLS,250,25,2,125.0,0.2
Quadratic,OLS,250,25,5,200.0,0.125
Quadratic,OLS,250,25,10,225.0,0.111
Quadratic,OLS,250,50,2,125.0,0.4
Quadratic,OLS,250,50,5,200.0,0.25
Quadratic,OLS,250,50,10,225.0,0.222
Quadratic,OLS,250,100,2,125.0,0.8
Quadratic,OLS,250,100,5,200.0,0.5
Quadratic,OLS,250,100,10,225.0,0.444
Quadratic,OLS,250,150,2,125.0,1.2
Quadratic,OLS,250,150,5,200.0,0.75
Quadratic,OLS,250,150,10,225.0,0.667
Quadratic,OLS,250,300,2,125.0,2.4
Quadratic,OLS,250,300,5,200.0,1.5
Quadratic,OLS,250,300,10,225.0,1.333
Quadratic,OLS,500,25,2,250.0,0.1
Quadratic,OLS,500,25,5,400.0,0.062
Quadratic,OLS,500,25,10,450.0,0.056
Quadratic,OLS,500,50,2,250.0,0.2
Quadratic,OLS,500,50,5,400.0,0.125
Quadratic,OLS,500,50,10,450.0,0.111
Quadratic,OLS,500,100,2,250.0,0.4
Quadratic,OLS,500,100,5,400.0,0.25
Quadratic,OLS,500,100,10,450.0,0.222
Quadratic,OLS,500,150,2,250.0,0.6
Quadratic,OLS,500,150,5,400.0,0.375
Quadratic,OLS,500,150,10,450.0,0.333
Quadratic,OLS,500,300,2,250.0,1.2
Quadratic,OLS,500,300,5,400.0,0.75
Quadratic,OLS,500,300,10,450.0,0.667
Quadratic,OLS,1000,25,2,500.0,0.05
Quadratic,OLS,1000,25,5,800.0,0.031
Quadratic,OLS,1000,25,10,900.0,0.028
Quadratic,OLS,1000,50,2,500.0,0.1
Quadratic,OLS,1000,50,5,800.0,0.062
Quadratic,OLS,1000,50,10,900.0,0.056
Quadratic,OLS,1000,100,2,500.0,0.2
Quadratic,OLS,1000,100,5,800.0,0.125
Quadratic,OLS,1000,100,10,900.0,0.111
Quadratic,OLS,1000,150,2,500.0,0.3
Quadratic,OLS,1000,150,5,800.0,0.188
Quadratic,OLS,1000,150,10,900.0,0.167
Quadratic,OLS,1000,300,2,500.0,0.6
Quadratic,OLS,1000,300,5,800.0,0.375
Quadratic,OLS,1000,300,10,900.0,0.333
Quadratic,Random Forest,250,25,2,125.0,0.2
Quadratic,Random Forest,250,25,5,200.0,0.125
Quadratic,Random Forest,250,25,10,225.0,0.111
Quadratic,Random Forest,250,50,2,125.0,0.4
Quadratic,Random Forest,250,50,5,200.0,0.25
Quadratic,Random Forest,250,50,10,225.0,0.222
Quadratic,Random Forest,250,100,2,125.0,0.8
Quadratic,Random Forest,250,100,5,200.0,0.5
Quadratic,Random Forest,250,100,10,225.0,0.444
Quadratic,Random Forest,250,150,2,125.0,1.2
Quadratic,Random Forest,250,150,5,200.0,0.75
Quadratic,Random Forest,250,150,10,225.0,0.667
Quadratic,Random Forest,250,300,2,125.0,2.4
Quadratic,Random Forest,250,300,5,200.0,1.5
Quadratic,Random Forest,250,300,10,225.0,1.333
Quadratic,Random Forest,500,25,2,250.0,0.1
Quadratic,Random Forest,500,25,5,400.0,0.062
Quadratic,Random Forest,500,25,10,450.0,0.056
Quadratic,Random Forest,500,50,2,250.0,0.2
Quadratic,Random Forest,500,50,5,400.0,0.125
Quadratic,Random Forest,500,50,10,450.0,0.111
Quadratic,Random Forest,500,100,2,250.0,0.4
Quadratic,Random Forest,500,100,5,400.0,0.25
Quadratic,Random Forest,500,100,10,450.0,0.222
Quadratic,Random Forest,500,150,2,250.0,0.6
Quadratic,Random Forest,500,150,5,400.0,0.375
Quadratic,Random Forest,500,150,10,450.0,0.333
Quadratic,Random Forest,500,300,2,250.0,1.2
Quadratic,Random Forest,500,300,5,400.0,0.75
Quadratic,Random Forest,500,300,10,450.0,0.667
Quadratic,Random Forest,1000,25,2,500.0,0.05
Quadratic,Random Forest,1000,25,5,800.0,0.031
Quadratic,Random Forest,1000,25,10,900.0,0.028
Quadratic,Random Forest,1000,50,2,500.0,0.1
Quadratic,Random Forest,1000,50,5,800.0,0.062
Quadratic,Random Forest,1000,50,10,900.0,0.056
Quadratic,Random Forest,1000,100,2,500.0,0.2
Quadratic,Random Forest,1000,100,5,800.0,0.125
Quadratic,Random Forest,1000,100,10,900.0,0.111
Quadratic,Random Forest,1000,150,2,500.0,0.3
Quadratic,Random Forest,1000,150,5,800.0,0.188
Quadratic,Random Forest,1000,150,10,900.0,0.167
Quadratic,Random Forest,1000,300,2,500.0,0.6
Quadratic,Random Forest,1000,300,5,800.0,0.375
Quadratic,Random Forest,1000,300,10,900.0,0.333
Step,Elastic Net,250,25,2,125.0,0.2
Step,Elastic Net,250,25,5,200.0,0.125
Step,Elastic Net,250,25,10,225.0,0.111
Step,Elastic Net,250,50,2,125.0,0.4
Step,Elastic Net,250,50,5,200.0,0.25
Step,Elastic Net,250,50,10,225.0,0.222
Step,Elastic Net,250,100,2,125.0,0.8
Step,Elastic Net,250,100,5,200.0,0.5
Step,Elastic Net,250,100,10,225.0,0.444
Step,Elastic Net,250,150,2,125.0,1.2
Step,Elastic Net,250,150,5,200.0,0.75
Step,Elastic Net,250,150,10,225.0,0.667
Step,Elastic Net,250,300,2,125.0,2.4
Step,Elastic Net,250,300,5,200.0,1.5
Step,Elastic Net,250,300,10,225.0,1.333
Step,Elastic Net,500,25,2,250.0,0.1
Step,Elastic Net,500,25,5,400.0,0.062
Step,Elastic Net,500,25,10,450.0,0.056
Step,Elastic Net,500,50,2,250.0,0.2
Step,Elastic Net,500,50,5,400.0,0.125
Step,Elastic Net,500,50,10,450.0,0.111
Step,Elastic Net,500,100,2,250.0,0.4
Step,Elastic Net,500,100,5,400.0,0.25
Step,Elastic Net,500,100,10,450.0,0.222
Step,Elastic Net,500,150,2,250.0,0.6
Step,Elastic Net,500,150,5,400.0,0.375
Step,Elastic Net,500,150,10,450.0,0.333
Step,Elastic Net,500,300,2,250.0,1.2
Step,Elastic Net,500,300,5,400.0,0.75
Step,Elastic Net,500,300,10,450.0,0.667
Step,Elastic Net,1000,25,2,500.0,0.05
Step,Elastic Net,1000,25,5,800.0,0.031
Step,Elastic Net,1000,25,10,900.0,0.028
Step,Elastic Net,1000,50,2,500.0,0.1
Step,Elastic Net,1000,50,5,800.0,0.062
Step,Elastic Net,1000,50,10,900.0,0.056
Step,Elastic Net,1000,100,2,500.0,0.2
Step,Elastic Net,1000,100,5,800.0,0.125
Step,Elastic Net,1000,100,10,900.0,0.111
Step,Elastic Net,1000,150,2,500.0,0.3
Step,Elastic Net,1000,150,5,800.0,0.188
Step,Elastic Net,1000,150,10,900.0,0.167
Step,Elastic Net,1000,300,2,500.0,0.6
Step,Elastic Net,1000,300,5,800.0,0.375
Step,Elastic Net,1000,300,10,900.0,0.333
Step,Gradient Boosting,250,25,2,125.0,0.2
Step,Gradient Boosting,250,25,5,200.0,0.125
Step,Gradient Boosting,250,25,10,225.0,0.111
Step,Gradient Boosting,250,50,2,125.0,0.4
Step,Gradient Boosting,250,50,5,200.0,0.25
Step,Gradient Boosting,250,50,10,225.0,0.222
Step,Gradient Boosting,250,100,2,125.0,0.8
Step,Gradient Boosting,250,100,5,200.0,0.5
Step,Gradient Boosting,250,100,10,225.0,0.444
Step,Gradient Boosting,250,150,2,125.0,1.2
Step,Gradient Boosting,250,150,5,200.0,0.75
Step,Gradient Boosting,250,150,10,225.0,0.667
Step,Gradient Boosting,250,300,2,125.0,2.4
Step,Gradient Boosting,250,300,5,200.0,1.5
Step,Gradient Boosting,250,300,10,225.0,1.333
Step,Gradient Boosting,500,25,2,250.0,0.1
Step,Gradient Boosting,500,25,5,400.0,0.062
Step,Gradient Boosting,500,25,10,450.0,0.056
Step,Gradient Boosting,500,50,2,250.0,0.2
Step,Gradient Boosting,500,50,5,400.0,0.125
Step,Gradient Boosting,500,50,10,450.0,0.111
Step,Gradient Boosting,500,100,2,250.0,0.4
Step,Gradient Boosting,500,100,5,400.0,0.25
Step,Gradient Boosting,500,100,10,450.0,0.222
Step,Gradient Boosting,500,150,2,250.0,0.6
Step,Gradient Boosting,500,150,5,400.0,0.375
Step,Gradient Boosting,500,150,10,450.0,0.333
Step,Gradient Boosting,500,300,2,250.0,1.2
Step,Gradient Boosting,500,300,5,400.0,0.75
Step,Gradient Boosting,500,300,10,450.0,0.667
Step,Gradient Boosting,1000,25,2,500.0,0.05
Step,Gradient Boosting,1000,25,5,800.0,0.031
Step,Gradient Boosting,1000,25,10,900.0,0.028
Step,Gradient Boosting,1000,50,2,500.0,0.1
Step,Gradient Boosting,1000,50,5,800.0,0.062
Step,Gradient Boosting,1000,50,10,900.0,0.056
Step,Gradient Boosting,1000,100,2,500.0,0.2
Step,Gradient Boosting,1000,100,5,800.0,0.125
Step,Gradient Boosting,1000,100,10,900.0,0.111
Step,Gradient Boosting,1000,150,2,500.0,0.3
Step,Gradient Boosting,1000,150,5,800.0,0.188
Step,Gradient Boosting,1000,150,10,900.0,0.167
Step,Gradient Boosting,1000,300,2,500.0,0.6
Step,Gradient Boosting,1000,300,5,800.0,0.375
Step,Gradient Boosting,1000,300,10,900.0,0.333
Step,Lasso,250,25,2,125.0,0.2
Step,Lasso,250,25,5,200.0,0.125
Step,Lasso,250,25,10,225.0,0.111
Step,Lasso,250,50,2,125.0,0.4
Step,Lasso,250,50,5,200.0,0.25
Step,Lasso,250,50,10,225.0,0.222
Step,Lasso,250,100,2,125.0,0.8
Step,Lasso,250,100,5,200.0,0.5
Step,Lasso,250,100,10,225.0,0.444
Step,Lasso,250,150,2,125.0,1.2
Step,Lasso,250,150,5,200.0,0.75
Step,Lasso,250,150,10,225.0,0.667
Step,Lasso,250,300,2,125.0,2.4
Step,Lasso,250,300,5,200.0,1.5
Step,Lasso,250,300,10,225.0,1.333
Step,Lasso,500,25,2,250.0,0.1
Step,Lasso,500,25,5,400.0,0.062
Step,Lasso,500,25,10,450.0,0.056
Step,Lasso,500,50,2,250.0,0.2
Step,Lasso,500,50,5,400.0,0.125
Step,Lasso,500,50,10,450.0,0.111
Step,Lasso,500,100,2,250.0,0.4
Step,Lasso,500,100,5,400.0,0.25
Step,Lasso,500,100,10,450.0,0.222
Step,Lasso,500,150,2,250.0,0.6
Step,Lasso,500,150,5,400.0,0.375
Step,Lasso,500,150,10,450.0,0.333
Step,Lasso,500,300,2,250.0,1.2
Step,Lasso,500,300,5,400.0,0.75
Step,Lasso,500,300,10,450.0,0.667
Step,Lasso,1000,25,2,500.0,0.05
Step,Lasso,1000,25,5,800.0,0.031
Step,Lasso,1000,25,10,900.0,0.028
Step,Lasso,1000,50,2,500.0,0.1
Step,Lasso,1000,50,5,800.0,0.062
Step,Lasso,1000,50,10,900.0,0.056
Step,Lasso,1000,100,2,500.0,0.2
Step,Lasso,1000,100,5,800.0,0.125
Step,Lasso,1000,100,10,900.0,0.111
Step,Lasso,1000,150,2,500.0,0.3
Step,Lasso,1000,150,5,800.0,0.188
Step,Lasso,1000,150,10,900.0,0.167
Step,Lasso,1000,300,2,500.0,0.6
Step,Lasso,1000,300,5,800.0,0.375
Step,Lasso,1000,300,10,900.0,0.333
Step,OLS,250,25,2,125.0,0.2
Step,OLS,250,25,5,200.0,0.125
Step,OLS,250,25,10,225.0,0.111
Step,OLS,250,50,2,125.0,0.4
Step,OLS,250,50,5,200.0,0.25
Step,OLS,250,50,10,225.0,0.222
Step,OLS,250,100,2,125.0,0.8
Step,OLS,250,100,5,200.0,0.5
Step,OLS,250,100,10,225.0,0.444
Step,OLS,250,150,2,125.0,1.2
Step,OLS,250,150,5,200.0,0.75
Step,OLS,250,150,10,225.0,0.667
Step,OLS,250,300,2,125.0,2.4
Step,OLS,250,300,5,200.0,1.5
Step,OLS,250,300,10,225.0,1.333
Step,OLS,500,25,2,250.0,0.1
Step,OLS,500,25,5,400.0,0.062
Step,OLS,500,25,10,450.0,0.056
Step,OLS,500,50,2,250.0,0.2
Step,OLS,500,50,5,400.0,0.125
Step,OLS,500,50,10,450.0,0.111
Step,OLS,500,100,2,250.0,0.4
Step,OLS,500,100,5,400.0,0.25
Step,OLS,500,100,10,450.0,0.222
Step,OLS,500,150,2,250.0,0.6
Step,OLS,500,150,5,400.0,0.375
Step,OLS,500,150,10,450.0,0.333
Step,OLS,500,300,2,250.0,1.2
Step,OLS,500,300,5,400.0,0.75
Step,OLS,500,300,10,450.0,0.667
Step,OLS,1000,25,2,500.0,0.05
Step,OLS,1000,25,5,800.0,0.031
Step,OLS,1000,25,10,900.0,0.028
Step,OLS,1000,50,2,500.0,0.1
Step,OLS,1000,50,5,800.0,0.062
Step,OLS,1000,50,10,900.0,0.056
Step,OLS,1000,100,2,500.0,0.2
Step,OLS,1000,100,5,800.0,0.125
Step,OLS,1000,100,10,900.0,0.111
Step,OLS,1000,150,2,500.0,0.3
Step,OLS,1000,150,5,800.0,0.188
Step,OLS,1000,150,10,900.0,0.167
Step,OLS,1000,300,2,500.0,0.6
Step,OLS,1000,300,5,800.0,0.375
Step,OLS,1000,300,10,900.0,0.333
Step,Random Forest,250,25,2,125.0,0.2
Step,Random Forest,250,25,5,200.0,0.125
Step,Random Forest,250,25,10,225.0,0.111
Step,Random Forest,250,50,2,125.0,0.4
Step,Random Forest,250,50,5,200.0,0.25
Step,Random Forest,250,50,10,225.0,0.222
Step,Random Forest,250,100,2,125.0,0.8
Step,Random Forest,250,100,5,200.0,0.5
Step,Random Forest,250,100,10,225.0,0.444
Step,Random Forest,250,150,2,125.0,1.2
Step,Random Forest,250,150,5,200.0,0.75
Step,Random Forest,250,150,10,225.0,0.667
Step,Random Forest,250,300,2,125.0,2.4
Step,Random Forest,250,300,5,200.0,1.5
Step,Random Forest,250,300,10,225.0,1.333
Step,Random Forest,500,25,2,250.0,0.1
Step,Random Forest,500,25,5,400.0,0.062
Step,Random Forest,500,25,10,450.0,0.056
Step,Random Forest,500,50,2,250.0,0.2
Step,Random Forest,500,50,5,400.0,0.125
Step,Random Forest,500,50,10,450.0,0.111
Step,Random Forest,500,100,2,250.0,0.4
Step,Random Forest,500,100,5,400.0,0.25
Step,Random Forest,500,100,10,450.0,0.222
Step,Random Forest,500,150,2,250.0,0.6
Step,Random Forest,500,150,5,400.0,0.375
Step,Random Forest,500,150,10,450.0,0.333
Step,Random Forest,500,300,2,250.0,1.2
Step,Random Forest,500,300,5,400.0,0.75
Step,Random Forest,500,300,10,450.0,0.667
Step,Random Forest,1000,25,2,500.0,0.05
Step,Random Forest,1000,25,5,800.0,0.031
Step,Random Forest,1000,25,10,900.0,0.028
Step,Random Forest,1000,50,2,500.0,0.1
Step,Random Forest,1000,50,5,800.0,0.062
Step,Random Forest,1000,50,10,900.0,0.056
Step,Random Forest,1000,100,2,500.0,0.2
Step,Random Forest,1000,100,5,800.0,0.125
Step,Random Forest,1000,100,10,900.0,0.111
Step,Random Forest,1000,150,2,500.0,0.3
Step,Random Forest,1000,150,5,800.0,0.188
Step,Random Forest,1000,150,10,900.0,0.167
Step,Random Forest,1000,300,2,500.0,0.6
Step,Random Forest,1000,300,5,800.0,0.375
Step,Random Forest,1000,300,10,900.0,0.333
